title,docid,updated,publisheddate,relevancescore,resultnumber,jurisdiction,date,source,author,contenttype,status,contentcomponentid,vendorreportid,length,byline,wordcount,language,actualresultscount
Union Pacific Corp. (UNP) Position Cut by Montag A Associates Inc.,urn:contentItem:5KF3-3D61-JCMN-Y29D-00000-00,2016-08-10,"August 10, 2016 Wednesday",144,10,U.S. Federal,2016-08-10,DailyPolitical,Stacy Sanders,News,Available,484233,AMCN-116307,997 words,Stacy Sanders,997,English,116
Union Pacific (UNP ) Showing Bullish Technicals With Support At $91.69,urn:contentItem:5KGH-MC31-F146-H3B7-00000-00,2016-08-16,"August 16, 2016 Tuesday",145,1,U.S. Federal,2016-08-16,Fresh Brewed Media,,News,Available,345147,FRBREW2016,243 words,,243,English,107
"Beacon Trust Co. Has $5,605,000 Stake in Union Pacific Corp. (UNP)",urn:contentItem:5KFN-PPF1-JCMN-Y3DG-00000-00,2016-08-13,"August 13, 2016 Saturday",145,2,U.S. Federal,2016-08-13,Zolmax.com,John Perry,News,Available,484302,AMCN-116308,981 words,John Perry,981,English,107
Union Pacific Corp. (UNP) Position Boosted by Silver Capital Management LLC,urn:contentItem:5KG9-M1M1-F03R-N03C-00000-00,2016-08-16,"August 16, 2016 Tuesday",145,3,U.S. Federal,2016-08-16,Ticker Report,Stephan Byrd,News,Available,484293,AMCN-126392,966 words,Stephan Byrd,966,English,107
"Gateway Advisory LLC Invests $580,000 in Union Pacific Corp. (UNP)",urn:contentItem:5KGR-JRF1-F03R-N2GJ-00000-00,2016-08-18,"August 18, 2016 Thursday",145,4,U.S. Federal,2016-08-18,Ticker Report,Stephan Byrd,News,Available,484293,AMCN-126392,977 words,Stephan Byrd,977,English,107
KBC Group NV Lowers Stake in Union Pacific Corp. (UNP),urn:contentItem:5KFN-PPF1-JCMN-Y2YG-00000-00,2016-08-13,"August 13, 2016 Saturday",145,5,U.S. Federal,2016-08-13,DailyPolitical,Tyrone Williams,News,Available,484233,AMCN-116307,1006 words,Tyrone Williams,1006,English,107
Union Pacific Corp. (UNP) Shares Sold by Cadence Capital Management LLC,urn:contentItem:5KGY-HT01-F03R-N04K-00000-00,2016-08-18,"August 18, 2016 Thursday",145,6,U.S. Federal,2016-08-18,DailyPolitical,Trevor Kearing,News,Available,484233,AMCN-116307,983 words,Trevor Kearing,983,English,107
Union Pacific Corp. (UNP) Position Maintained by United Fire Group Inc.,urn:contentItem:5KG0-70R1-JCMN-Y395-00000-00,2016-08-14,"August 14, 2016 Sunday",145,7,U.S. Federal,2016-08-14,Ticker Report,Ethan Ryder,News,Available,484293,AMCN-126392,948 words,Ethan Ryder,948,English,107
"Navellier Associates Inc Sells 8,314 Shares of Union Pacific Corp. (UNP)",urn:contentItem:5KFN-PPF1-JCMN-Y3D9-00000-00,2016-08-13,"August 13, 2016 Saturday",144,8,U.S. Federal,2016-08-13,Zolmax.com,Alphonse Anthony,News,Available,484302,AMCN-116308,977 words,Alphonse Anthony,977,English,107
NJ State Employees Deferred Compensation Plan Holds Position in Union Pacific Corp. (UNP),urn:contentItem:5KGR-JRF1-F03R-N2S1-00000-00,2016-08-17,"August 17, 2016 Wednesday",144,9,U.S. Federal,2016-08-17,Watchlist News,Kyle Jackson,News,Available,484299,AMCN-135127,949 words,Kyle Jackson,949,English,107
Northstar Group Inc. Purchases 664 Shares of Union Pacific Corp. (UNP),urn:contentItem:5KG3-JW91-JCMN-Y251-00000-00,2016-08-14,"August 14, 2016 Sunday",144,10,U.S. Federal,2016-08-14,Ticker Report,Joseph Griffin,News,Available,484293,AMCN-126392,1031 words,Joseph Griffin,1031,English,107
Potential Union Pacific (UNP ) Trade Has 3.15% Downside Protection,urn:contentItem:5KJ1-DNK1-JDN4-T34B-00000-00,2016-08-23,"August 23, 2016 Tuesday",146,1,U.S. Federal,2016-08-23,Fresh Brewed Media,,News,Available,345147,FRBREW2016,307 words,,307,English,95
Union Pacific (UNP ) Trading Near $96.39 Resistance Level,urn:contentItem:5KJF-C1B1-F146-H194-00000-00,2016-08-25,"August 25, 2016 Thursday",146,2,U.S. Federal,2016-08-25,Fresh Brewed Media,,News,Available,345147,FRBREW2016,244 words,,244,English,95
Union Pacific (UNP ) Showing Bullish Technicals,urn:contentItem:5KH5-HXP1-F146-H13C-00000-00,2016-08-19,"August 19, 2016 Friday",145,3,U.S. Federal,2016-08-19,Fresh Brewed Media,,News,Available,345147,FRBREW2016,236 words,,236,English,95
Stanley Laman Group Ltd. Takes Position in Union Pacific Corp. (UNP),urn:contentItem:5KH5-G7F1-F03R-N54W-00000-00,2016-08-20,"August 20, 2016 Saturday",145,4,U.S. Federal,2016-08-20,Ticker Report,Ethan Ryder,News,Available,484293,AMCN-126392,979 words,Ethan Ryder,979,English,95
"Hennessy Advisors Inc. Has $2,242,000 Stake in Union Pacific Corp. (UNP)",urn:contentItem:5KJ1-C531-JCMN-Y2WT-00000-00,2016-08-24,"August 24, 2016 Wednesday",145,5,U.S. Federal,2016-08-24,DailyPolitical,Stacy Sanders,News,Available,484233,AMCN-116307,1014 words,Stacy Sanders,1014,English,95
"Douglass Winthrop Advisors LLC Has $2,222,000 Stake in Union Pacific Corp. (UNP)",urn:contentItem:5KHC-CV11-F03R-N0ND-00000-00,2016-08-20,"August 20, 2016 Saturday",145,6,U.S. Federal,2016-08-20,Ticker Report,Logan Wallace,News,Available,484293,AMCN-126392,939 words,Logan Wallace,939,English,95
Union Pacific Corp. (UNP) Shares Bought by Gofen Glossberg LLC IL,urn:contentItem:5KHK-C0N1-JCMN-Y3XJ-00000-00,2016-08-21,"August 21, 2016 Sunday",145,7,U.S. Federal,2016-08-21,DailyPolitical,Tyrone Williams,News,Available,484233,AMCN-116307,959 words,Tyrone Williams,959,English,95
"Condor Capital Management Acquires 1,005 Shares of Union Pacific Corp. (UNP)",urn:contentItem:5KJ1-C531-JCMN-Y2X3-00000-00,2016-08-24,"August 24, 2016 Wednesday",144,8,U.S. Federal; International,2016-08-24,DailyPolitical,Jeff Wilder,News,Available,484233,AMCN-116307,1041 words,Jeff Wilder,1041,English,95
Heritage Wealth Advisors Raises Position in Union Pacific Corp. (UNP),urn:contentItem:5KHT-D0C1-JCMN-Y2BK-00000-00,2016-08-23,"August 23, 2016 Tuesday",144,9,U.S. Federal,2016-08-23,Watchlist News,Micah Haroldson,News,Available,484299,AMCN-135127,994 words,Micah Haroldson,994,English,95
Union Pacific (UNP ) Showing Bullish Technicals With Support At $95.02,urn:contentItem:5KHT-FG71-F146-H2HG-00000-00,2016-08-22,"August 22, 2016 Monday",144,10,U.S. Federal,2016-08-22,Fresh Brewed Media,,News,Available,345147,FRBREW2016,225 words,,225,English,95
Union Pacific Corp. (UNP) Shares Bought by Brick Kyle Associates,urn:contentItem:5KKR-5DP1-F03R-N2F0-00000-00,2016-09-01,"September 1, 2016 Thursday",145,1,U.S. Federal; Massachusetts,2016-09-01,Ticker Report,Joseph Griffin,News,Available,484293,AMCN-126392,1039 words,Joseph Griffin,1039,English,39
GWM Advisors LLC Acquires New Stake in Union Pacific Corp. (UNP),urn:contentItem:5KJW-60H1-JCMN-Y19D-00000-00,2016-08-27,"August 27, 2016 Saturday",145,2,U.S. Federal; International,2016-08-27,Ticker Report,Stephan Byrd,News,Available,484293,AMCN-126392,996 words,Stephan Byrd,996,English,39
"Rand Wealth LLC Has $967,000 Stake in Union Pacific Corp. (UNP)",urn:contentItem:5KK9-6731-JCMN-Y1P3-00000-00,2016-08-30,"August 30, 2016 Tuesday",145,3,U.S. Federal,2016-08-30,Watchlist News,Mark Dietrich,News,Available,484299,AMCN-135127,1030 words,Mark Dietrich,1030,English,39
Union Pacific Corp. (UNP) Shares Bought by Point View Wealth Management Inc.,urn:contentItem:5KKH-60C1-F03R-N21Y-00000-00,2016-08-31,"August 31, 2016 Wednesday",145,4,U.S. Federal,2016-08-31,DailyPolitical,Stacy Sanders,News,Available,484233,AMCN-116307,990 words,Stacy Sanders,990,English,39
Fernwood Investment Management LLC Lowers Position in Union Pacific Corp. (UNP),urn:contentItem:5KJN-8BM1-JCMN-Y008-00000-00,2016-08-27,"August 27, 2016 Saturday",144,5,U.S. Federal; International,2016-08-27,Watchlist News,Lindsey Winhoffer,News,Available,484299,AMCN-135127,1062 words,Lindsey Winhoffer,1062,English,39
"Bank of The West Has $1,456,000 Stake in Union Pacific Corp. (UNP)",urn:contentItem:5KKR-5DP1-F03R-N2F6-00000-00,2016-09-01,"September 1, 2016 Thursday",144,6,U.S. Federal,2016-09-01,Ticker Report,Joseph Griffin,News,Available,484293,AMCN-126392,1022 words,Joseph Griffin,1022,English,39
Union Pacific Corp. (UNP) Stake Held by Trust Co. of Virginia VA,urn:contentItem:5KKB-CTM1-JCMN-Y31P-00000-00,2016-08-28,"August 28, 2016 Sunday",144,7,U.S. Federal; Massachusetts,2016-08-28,DailyPolitical,Jeff Wilder,News,Available,484233,AMCN-116307,1042 words,Jeff Wilder,1042,English,39
Regent Investment Management LLC Maintains Position in Union Pacific Corp. (UNP),urn:contentItem:5KKB-CTM1-JCMN-Y3JH-00000-00,2016-08-28,"August 28, 2016 Sunday",144,8,U.S. Federal,2016-08-28,Ticker Report,Shane Hupp,News,Available,484293,AMCN-126392,1013 words,Shane Hupp,1013,English,39
Garland Capital Management Inc. Buys 800 Shares of Union Pacific Corp. (UNP),urn:contentItem:5KJW-60H1-JCMN-Y0KR-00000-00,2016-08-27,"August 27, 2016 Saturday",144,9,U.S. Federal,2016-08-27,DailyPolitical,Jeff Wilder,News,Available,484233,AMCN-116307,1049 words,Jeff Wilder,1049,English,39
Union Pacific Corp. (UNP) to Issue Quarterly Dividend of $0.55 on September 30th,urn:contentItem:5KKB-CTP1-F03R-N4PS-00000-00,2016-08-28,"August 28, 2016 Sunday",144,10,U.S. Federal,2016-08-28,Watchlist News,Nicole Kennedy,News,Available,484299,AMCN-135127,643 words,Nicole Kennedy,643,English,39
Union Pacific Corp. (UNP) Shares Sold by Douglass Winthrop Advisors LLC,urn:contentItem:5KMJ-YD41-F03R-N2PF-00000-00,2016-09-04,"September 4, 2016 Sunday",145,1,U.S. Federal,2016-09-04,DailyPolitical,Jeff Wilder,News,Available,484233,AMCN-116307,957 words,Jeff Wilder,957,English,64
Union Pacific Corp. (UNP) Position Cut by Univest Corp of Pennsylvania,urn:contentItem:5KMJ-YD41-F03R-N388-00000-00,2016-09-04,"September 4, 2016 Sunday",145,2,U.S. Federal; Pennsylvania,2016-09-04,Ticker Report,Logan Wallace,News,Available,484293,AMCN-126392,990 words,Logan Wallace,990,English,64
Union Pacific Corp. (UNP) Shares Bought by Pennsylvania Trust Co,urn:contentItem:5KMJ-YD41-F03R-N3H5-00000-00,2016-09-04,"September 4, 2016 Sunday",145,3,U.S. Federal,2016-09-04,Watchlist News,Hanz Christensen,News,Available,484299,AMCN-135127,973 words,Hanz Christensen,973,English,64
"Cadence Bank NA Has $880,000 Position in Union Pacific Corp. (UNP)",urn:contentItem:5KMS-XY01-F03R-N4J7-00000-00,2016-09-06,"September 6, 2016 Tuesday",145,4,U.S. Federal,2016-09-06,Watchlist News,Kyle Jackson,News,Available,484299,AMCN-135127,1037 words,Kyle Jackson,1037,English,64
Livforsakringsbolaget Skandia Omsesidigt Holds Position in Union Pacific Corp. (UNP),urn:contentItem:5KMJ-YD41-F03R-N3KN-00000-00,2016-09-04,"September 4, 2016 Sunday",145,5,U.S. Federal,2016-09-04,Watchlist News,Micah Haroldson,News,Available,484299,AMCN-135127,941 words,Micah Haroldson,941,English,64
Union Pacific Corp. (UNP) Position Held by First Washington CORP,urn:contentItem:5KN0-YS31-JCMN-Y4WX-00000-00,2016-09-07,"September 7, 2016 Wednesday",145,6,U.S. Federal,2016-09-07,Ticker Report,Shane Hupp,News,Available,484293,AMCN-126392,948 words,Shane Hupp,948,English,64
Union Pacific Corp. (UNP) Shares Bought by Markel Corp,urn:contentItem:5KMV-8FP1-JCMN-Y115-00000-00,2016-09-06,"September 6, 2016 Tuesday",145,7,U.S. Federal,2016-09-06,DailyPolitical,Trevor Kearing,News,Available,484233,AMCN-116307,969 words,Trevor Kearing,969,English,64
Mengis Capital Management Inc. Raises Position in Union Pacific Corp. (UNP),urn:contentItem:5KN0-YS31-JCMN-Y4C4-00000-00,2016-09-07,"September 7, 2016 Wednesday",145,8,U.S. Federal,2016-09-07,DailyPolitical,Latisha Jones,News,Available,484233,AMCN-116307,1026 words,Latisha Jones,1026,English,64
Strategic Financial Services Inc Cuts Stake in Union Pacific Corp. (UNP),urn:contentItem:5KMS-XY01-F03R-N4C4-00000-00,2016-09-06,"September 6, 2016 Tuesday",145,9,U.S. Federal,2016-09-06,Ticker Report,Stephan Byrd,News,Available,484293,AMCN-126392,971 words,Stephan Byrd,971,English,64
Union Pacific Corp. (UNP) Position Decreased by Palladium Partners LLC,urn:contentItem:5KMC-0951-F03R-N0B1-00000-00,2016-09-03,"September 3, 2016 Saturday",145,10,U.S. Federal,2016-09-03,DailyPolitical,Tyrone Williams,News,Available,484233,AMCN-116307,995 words,Tyrone Williams,995,English,64
Potential Union Pacific (UNP ) Trade Has 3.15% Downside Protection,urn:contentItem:5KP8-VB61-F146-H3WS-00000-00,2016-09-12,"September 12, 2016 Monday",146,1,U.S. Federal,2016-09-12,Fresh Brewed Media,,News,Available,345147,FRBREW2016,245 words,,245,English,90
Union Pacific Corp. (UNP) Shares Sold by Isthmus Partners LLC,urn:contentItem:5KNM-VRC1-JCMN-Y2P6-00000-00,2016-09-10,"September 10, 2016 Saturday",145,2,U.S. Federal,2016-09-10,Watchlist News,Mark Dietrich,News,Available,484299,AMCN-135127,1101 words,Mark Dietrich,1101,English,90
Union Pacific Corp. (UNP) Position Maintained by Saybrook Capital NC,urn:contentItem:5KND-XVP1-F03R-N06J-00000-00,2016-09-09,"September 9, 2016 Friday",145,3,U.S. Federal,2016-09-09,Ticker Report,Logan Wallace,News,Available,484293,AMCN-126392,994 words,Logan Wallace,994,English,90
Union Pacific (UNP ) Trading Near $94.02 Support Level,urn:contentItem:5KNV-X091-JDN4-T4JM-00000-00,2016-09-10,"September 10, 2016 Saturday",145,4,U.S. Federal,2016-09-10,Fresh Brewed Media,,News,Available,345147,FRBREW2016,225 words,,225,English,90
Union Pacific Corp. (UNP) Position Raised by Horan Capital Management,urn:contentItem:5KNV-SFH1-F03R-N06Y-00000-00,2016-09-10,"September 10, 2016 Saturday",145,5,U.S. Federal,2016-09-10,Ticker Report,Joseph Griffin,News,Available,484293,AMCN-126392,1084 words,Joseph Griffin,1084,English,90
Gamble Jones Investment Counsel Raises Stake in Union Pacific Corp. (UNP),urn:contentItem:5KPP-RHC1-F03R-N23Y-00000-00,2016-09-14,"September 14, 2016 Wednesday",145,6,U.S. Federal,2016-09-14,Watchlist News,Hanz Christensen,News,Available,484299,AMCN-135127,1127 words,Hanz Christensen,1127,English,90
"Dempze Nancy E Purchases Shares of 2,400 Union Pacific Corp. (UNP)",urn:contentItem:5KNR-F3H1-JCMN-Y52M-00000-00,2016-09-10,"September 10, 2016 Saturday",145,7,U.S. Federal,2016-09-10,Ticker Report,Shane Hupp,News,Available,484293,AMCN-126392,1111 words,Shane Hupp,1111,English,90
Kidder Stephen W Holds Position in Union Pacific Corp. (UNP),urn:contentItem:5KNM-VRC1-JCMN-Y2DV-00000-00,2016-09-10,"September 10, 2016 Saturday",144,8,U.S. Federal,2016-09-10,Ticker Report,Max Byerly,News,Available,484293,AMCN-126392,1084 words,Max Byerly,1084,English,90
"Duncker Streett Co. Inc. Has $403,000 Position in Union Pacific Corp. (UNP)",urn:contentItem:5KP2-RRG1-JCMN-Y139-00000-00,2016-09-11,"September 11, 2016 Sunday",144,9,U.S. Federal,2016-09-11,Watchlist News,Kyle Jackson,News,Available,484299,AMCN-135127,1153 words,Kyle Jackson,1153,English,90
Union Pacific (UNP ) Showing Bullish Technicals With Support At $90.10,urn:contentItem:5KPP-SPB1-JDN4-T206-00000-00,2016-09-14,"September 14, 2016 Wednesday",144,10,U.S. Federal,2016-09-14,Fresh Brewed Media,,News,Available,345147,FRBREW2016,227 words,,227,English,90
Union Pacific (UNP ) Showing Bearish Technicals,urn:contentItem:5KRJ-NDK1-F146-H0RP-00000-00,2016-09-18,"September 18, 2016 Sunday",146,1,U.S. Federal,2016-09-18,Fresh Brewed Media,,News,Available,345147,FRBREW2016,215 words,,215,English,99
Union Pacific (UNP ) Showing Bearish Technicals With Support At $92.22,urn:contentItem:5KS0-KVM1-JDN4-T0CG-00000-00,2016-09-20,"September 20, 2016 Tuesday",146,2,U.S. Federal,2016-09-20,Fresh Brewed Media,,News,Available,345147,FRBREW2016,308 words,,308,English,99
Cwm LLC Cuts Position in Union Pacific Corp. (UNP),urn:contentItem:5KRJ-J6R1-F03R-N2RV-00000-00,2016-09-18,"September 18, 2016 Sunday",146,3,U.S. Federal,2016-09-18,Ticker Report,Logan Wallace,News,Available,484293,AMCN-126392,1019 words,Logan Wallace,1019,English,99
Union Pacific (UNP ) Trading Near $94.42 Resistance Level,urn:contentItem:5KR4-R2B1-JDN4-T12S-00000-00,2016-09-16,"September 16, 2016 Friday",145,4,U.S. Federal,2016-09-16,Fresh Brewed Media,,News,Available,345147,FRBREW2016,226 words,,226,English,99
Union Pacific Corp. (UNP) Shares Bought by Kwmg LLC,urn:contentItem:5KRB-JWJ1-F03R-N208-00000-00,2016-09-17,"September 17, 2016 Saturday",145,5,U.S. Federal,2016-09-17,Watchlist News,Nicole Kennedy,News,Available,484299,AMCN-135127,1087 words,Nicole Kennedy,1087,English,99
"BKS Advisors LLC Invests $256,000 in Union Pacific Corp. (UNP)",urn:contentItem:5KR4-MYN1-JCMN-Y1TK-00000-00,2016-09-16,"September 16, 2016 Friday",145,6,U.S. Federal,2016-09-16,DailyPolitical,Jeff Wilder,News,Available,484233,AMCN-116307,1080 words,Jeff Wilder,1080,English,99
Sigma Planning Corp Sells 342 Shares of Union Pacific Corp. (UNP),urn:contentItem:5KRJ-J6R1-F03R-N2N4-00000-00,2016-09-18,"September 18, 2016 Sunday",145,7,U.S. Federal,2016-09-18,Ticker Report,Ethan Ryder,News,Available,484293,AMCN-126392,1136 words,Ethan Ryder,1136,English,99
Cwm LLC Cuts Position in Union Pacific Corp. (UNP),urn:contentItem:5KRJ-J6R1-F03R-N27V-00000-00,2016-09-18,"September 18, 2016 Sunday",145,8,U.S. Federal; International,2016-09-18,DailyPolitical,Stacy Sanders,News,Available,484233,AMCN-116307,1159 words,Stacy Sanders,1159,English,99
"SCO Inc. Acquires 2,300 Shares of Union Pacific Corp. (UNP)",urn:contentItem:5KRB-JWH1-F03R-N12P-00000-00,2016-09-17,"September 17, 2016 Saturday",145,9,U.S. Federal,2016-09-17,DailyPolitical,Stacy Sanders,News,Available,484233,AMCN-116307,1160 words,Stacy Sanders,1160,English,99
"Rothschild Investment Corp IL Has $317,000 Stake in Union Pacific Corp. (UNP)",urn:contentItem:5KRB-JWJ1-F03R-N20N-00000-00,2016-09-17,"September 17, 2016 Saturday",145,10,U.S. Federal,2016-09-17,Watchlist News,Nicole Kennedy,News,Available,484299,AMCN-135127,1086 words,Nicole Kennedy,1086,English,99
Union Pacific (UNP ) Showing Bullish Technicals With Resistance At $95.20,urn:contentItem:5KT8-DWY1-F146-H2J6-00000-00,2016-09-26,"September 26, 2016 Monday",146,1,U.S. Federal,2016-09-26,Fresh Brewed Media,,News,Available,345147,FRBREW2016,205 words,,205,English,31
Union Pacific Corp. (UNP) Stake Raised by Brown Advisory Inc.,urn:contentItem:5KSY-0KG1-F03R-N4T7-00000-00,2016-09-25,"September 25, 2016 Sunday",145,2,U.S. Federal,2016-09-25,Ticker Report,Logan Wallace,News,Available,484293,AMCN-126392,1097 words,Logan Wallace,1097,English,31
Union Pacific (UNP ) Trading Near $96.57 Resistance Level,urn:contentItem:5KSM-HCF1-F146-H35F-00000-00,2016-09-23,"September 23, 2016 Friday",145,3,U.S. Federal,2016-09-23,Fresh Brewed Media,,News,Available,345147,FRBREW2016,225 words,,225,English,31
Cottage Street Advisors LLC Decreases Stake in Union Pacific Corp. (UNP),urn:contentItem:5KT2-B8P1-F03R-N330-00000-00,2016-09-25,"September 25, 2016 Sunday",145,4,U.S. Federal,2016-09-25,DailyPolitical,Jeff Wilder,News,Available,484233,AMCN-116307,1126 words,Jeff Wilder,1126,English,31
