title,source,author,date,length,wordcount,totalsearchresults,relevancescore,contentcomponentid,vendorreportid,docid
"FedEx Co. ( NYSE :FDX) Receives Consensus Rating of ""Buy"" from Brokerages",American Banking and Market News,,2021-01-01,814 words,814,10,63,439934,AMBNWS2021,urn:contentItem:61NC-6WB1-JB40-X2B9-00000-00
FedEx ( NYSE :FDX) Given Sell Rating at DZ Bank,Watchlist News,,2021-01-01,979 words,979,10,59,484299,AMCN-135127,urn:contentItem:61NB-DBD1-JCMN-Y15T-00000-00
FedEx Co. ( NYSE :FDX) Receives Consensus Rating of 'Buy' from Brokerages,Transcript Daily,,2021-01-01,876 words,876,10,32,484294,AMCN-10009368,urn:contentItem:61NC-PWG1-F03R-N0BT-00000-00
FedEx ( NYSE :FDX) Rating Reiterated by DZ Bank,Ticker Report,,2021-01-01,924 words,924,10,31,484293,AMCN-126392,urn:contentItem:61NB-DBD1-JCMN-Y0WN-00000-00
FedEx ( NYSE :FDX) PT Raised to $305.00,Zolmax.com,,2021-01-01,1009 words,1009,10,31,484302,AMCN-116308,urn:contentItem:61NB-DBD1-JCMN-Y00J-00000-00
New FedEx Facility Shines at Ontario International Airport,Airport Business,,2021-01-01,80 words,80,10,14,293667,APTBUS2021,urn:contentItem:62DW-F8Y1-JC79-C17S-00000-00
"Third-Party Logistics Market Significant Demand Foreseen | Kerry Logistics, Yusen Logistics, TNT Express",iCrowdNewswire (English),,2021-01-02,1460 words,1460,1,58,433665,ICRWDE2021,urn:contentItem:61NS-GY51-F08D-502C-00000-00
Mississippi Valley State University: Briggs Named One of the Ten Most Dominant HBCU Leaders of 2021,Targeted News Service,Targeted News Service,2021-01-03,680 words,680,7,63,299219,TARGET2021,urn:contentItem:61P0-F3W1-DYG2-R502-00000-00
FedEx ( NYSE :FDX) PT Set at $368.00 by Credit Suisse Group,Watchlist News,,2021-01-03,1037 words,1037,7,58,484299,AMCN-135127,urn:contentItem:61NS-G5R1-JCMN-Y2JW-00000-00
Analysts Expect FedEx Co. ( NYSE : FDX ) Will Post Earnings of $3.25 Per Share,Watchlist News,,2021-01-03,1255 words,1255,7,55,484299,AMCN-135127,urn:contentItem:61NY-0W51-F03R-N1KT-00000-00
FedEx ( NYSE :FDX) Given a $368.00 Price Target by Credit Suisse Group Analysts,Ticker Report,,2021-01-03,945 words,945,7,31,484293,AMCN-126392,urn:contentItem:61NS-G5R1-JCMN-Y25G-00000-00
FedEx ( NYSE :FDX) Given a $356.00 Price Target by The Goldman Sachs Group Analysts,Zolmax.com,,2021-01-03,973 words,973,7,31,484302,AMCN-116308,urn:contentItem:61NS-G5R1-JCMN-Y1G6-00000-00
FedEx Co. ( NYSE : FDX ) Expected to Announce Quarterly Sales of $19.72 Billion,DailyPolitical,,2021-01-03,1149 words,1149,7,31,484233,AMCN-116307,urn:contentItem:61NY-0W51-F03R-N0D2-00000-00
$19.72 Billion in Sales Expected for FedEx Co. ( NYSE : FDX ) This Quarter,Zolmax.com,,2021-01-03,1100 words,1100,7,31,484302,AMCN-116308,urn:contentItem:61NY-0W51-F03R-N0TX-00000-00
"US Patent Issued to FEDEX CORPORATE SERVICES on Dec. 29 for ""Modular autonomous bot apparatus assembly for transporting an item being shipped"" ( Tennessee Inventors)",US Fed News,,2021-01-04,312 words,312,6,101,282801,USFDNW2021,urn:contentItem:61P1-XKY1-F12F-F06X-00000-00
"US Patent Issued to FEDEX CORPORATE SERVICES on Dec. 29 for ""Managing logistics information related to a logistics container using a container interface display apparatus"" ( Tennessee Inventors)",US Fed News,,2021-01-04,312 words,312,6,98,282801,USFDNW2021,urn:contentItem:61P4-Y2X1-F12F-F2N0-00000-00
"US Patent Issued to FEDEX CORPORATE SERVICES on Dec. 29 for ""Systems, apparatus, and methods for detecting an environmental anomaly and initiating an enhanced automatic response using elements of a wireless node network including a command node environmental sensor"" ( Tennessee Inventor)",US Fed News,,2021-01-04,327 words,327,6,92,282801,USFDNW2021,urn:contentItem:61P0-42T1-JDKC-R3Y6-00000-00
Global $424 Billion Last Mile Delivery Transportation Market Outlook to 2027,PR Newswire,,2021-01-04,812 words,812,6,51,8054,PRNEWS2021,urn:contentItem:61P0-R3H1-JB72-127V-00000-00
FedEx Has Started a Correction so Don't Fight the Tape,TheStreet Pro,Bruce Kamich,2021-01-04,230 words,230,6,28,420101,TSCSRM2021,urn:contentItem:61P7-CK01-F00X-J0J7-00000-00
"Insights on the Global Retail Logistics Market 2020-2024: COVID-19 Industry Analysis, Market Trends, Market Growth, Opportunities, and Forecast 2024 - Technavio",Business Wire,,2021-01-04,1091 words,1091,6,20,7924,BWIRE2021,urn:contentItem:61P4-SD61-DXY3-00FB-00000-00
"Medical Courier Market Is Thriving Worldwide| Americord Registry , Network Global Logistics, United Parcel Service of America",iCrowdNewswire (English),,2021-01-05,1366 words,1366,7,61,433665,ICRWDE2021,urn:contentItem:61P7-CJ81-F08D-517R-00000-00
M&R Capital Management Inc. Decreases Stake in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-01-05,1006 words,1006,7,59,439934,AMBNWS2021,urn:contentItem:5SFM-NHF1-JB40-X09S-00000-00
M&R Capital Management Inc. Trims Stock Holdings in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-01-05,1022 words,1022,7,59,439934,AMBNWS2021,urn:contentItem:61PB-T531-JB40-X342-00000-00
Reverse Logistics Market Grow at a CAGR of 4.48% to Reach an Estimated Revenue of $657.66 Million By 2027 - The Courier,University Wire,,2021-01-05,719 words,719,7,51,172244,UWIRE2021,urn:contentItem:61PB-7FN1-DY7P-T05D-00000-00
Thomasville National Bank Sells 201 Shares of FedEx Co. ( NYSE :FDX),DailyPolitical,,2021-01-05,1099 words,1099,7,31,484233,AMCN-116307,urn:contentItem:61P6-BJH1-F03R-N119-00000-00
Vendor Stocks Soared in 2020 on Digitalization Boom,WWD,,2021-01-05,527 words,527,7,22,434863,WOWEDA2021,urn:contentItem:61P8-2381-DXFS-21SC-00000-00
9 Upgraded Stocks to Buy in January,USNEWS.com,Wayne Duggan,2021-01-06,1076 words,1076,2,30,297647,USNCOM2021,urn:contentItem:61PN-7PR1-JCKG-J0MK-00000-00
"Supply Chain and Logistics Market Next Big Thing : Major Giants FedEx , Nippon Express, USPS, Deutsche Post DHL, Maersk",ReleaseWire,,2021-01-06,1578 words,1578,2,27,484276,SBWI-7162,urn:contentItem:61PF-N0B1-F03R-N1GJ-00000-00
Woodstock Corp Increases Stake in FedEx Co. ( NYSE :FDX),Transcript Daily,,2021-01-07,1039 words,1039,13,65,484294,AMCN-10009368,urn:contentItem:61PM-94K1-F03R-N122-00000-00
"Woodstock Corp Purchases 1,116 Shares of FedEx Co. ( NYSE :FDX)",American Banking and Market News,,2021-01-07,970 words,970,13,65,439934,AMBNWS2021,urn:contentItem:61PN-3411-JB40-X03J-00000-00
FedEx ( NYSE :FDX) Cut to Market Perform at Wolfe Research,American Banking and Market News,,2021-01-07,835 words,835,13,64,439934,AMBNWS2021,urn:contentItem:61PN-3411-JB40-X182-00000-00
FedEx ( NYSE :FDX) Downgraded to Hold at BidaskClub,American Banking and Market News,,2021-01-07,908 words,908,13,62,439934,AMBNWS2021,urn:contentItem:61PN-33R1-DXK2-M4J1-00000-00
"Silverleafe Capital Partners LLC Acquires 2,554 Shares of FedEx Co. ( NYSE :FDX)",American Banking and Market News,,2021-01-07,977 words,977,13,59,439934,AMBNWS2021,urn:contentItem:61PN-3411-JB40-X2JD-00000-00
"Domino's , FedEx , Lockheed , Roku and More of Tuesday Afternoon's Analyst Calls",24/7 Wall St.,247chrislange,2021-01-07,915 words,915,13,18,484220,TFS-5001,urn:contentItem:61PN-N6R1-JCMN-Y4SD-00000-00
Golar LNG ( GLNG ) Hurt by High Debt and Closure of Shipyard,Newstex Blogs,Zacks Equity Research,2021-01-07,805 words,805,13,7,299488,ZACK-5304,urn:contentItem:61PN-N6S1-JCMN-Y081-00000-00
Gol Linhas ( GOL ) Posts Bland December Traffic Statistics,Newstex Blogs,Zacks Equity Research,2021-01-07,851 words,851,13,7,299488,ZACK-5304,urn:contentItem:61PN-N6S1-JCMN-Y05R-00000-00
5 Best Value Picks Based on Discounted PEG,Newstex Blogs,Urmimala Biswas,2021-01-07,1446 words,1446,13,6,299488,ZACK-5304,urn:contentItem:61PN-N681-F03R-N412-00000-00
"Bio Pharma Logistics Market 2020 Global Leading Companies Analysis, Revenue, Trends and Forecasts 2026",iCrowdNewswire (English),,2021-01-08,1238 words,1238,18,107,433665,ICRWDE 202,urn:contentItem:61PW-92S1-F08D-52G2-00000-00
"Diversified Trust Co Sells 3,273 Shares of FedEx Co. ( NYSE :FDX)",American Banking and Market News,,2021-01-08,963 words,963,18,61,439934,AMBNWS2021,urn:contentItem:61R0-PR61-JB40-X00K-00000-00
ELM Advisors LLC Decreases Stake in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-01-08,994 words,994,18,59,439934,AMBNWS2021,urn:contentItem:5SFV-N0F1-DXK2-M10G-00000-00
FedEx Co. ( NYSE :FDX) Shares Sold by State of Alaska Department of Revenue,American Banking and Market News,,2021-01-08,996 words,996,18,59,439934,AMBNWS2021,urn:contentItem:61R0-PR51-JB40-X4X3-00000-00
FedEx Co. ( NYSE :FDX) Shares Sold by Diversified Trust Co,Watchlist News,,2021-01-08,1125 words,1125,18,58,484299,AMCN-135127,urn:contentItem:61R0-XHK1-F03R-N1XH-00000-00
ELM Advisors LLC Sells 300 Shares of FedEx Co. ( NYSE :FDX),Watchlist News,,2021-01-08,1136 words,1136,18,58,484299,AMCN-135127,urn:contentItem:61R0-XHK1-F03R-N21F-00000-00
FedEx ( NYSE :FDX) Rating Lowered to Hold at BidaskClub,Watchlist News,,2021-01-08,1076 words,1076,18,57,484299,AMCN-135127,urn:contentItem:61PW-MFV1-JCMN-Y16S-00000-00
"Biopharmaceutical Logistics Market Next Big Thing | Major Giants FedEx , Ceva Logistics",iCrowdNewswire (English),,2021-01-08,1575 words,1575,18,46,433665,ICRWDE 202,urn:contentItem:61R0-MY91-F08D-53GD-00000-00
FedEx to Ship First Wave of Moderna COVID-19 Vaccines Across the United States,3BL Blogs,fedex,2021-01-08,844 words,844,18,34,484221,TBLM-6759,urn:contentItem:61PW-MFV1-JCMN-Y3WX-00000-00
Carroll Financial Associates Inc. Sells 572 Shares of FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-01-09,978 words,978,4,59,439934,AMBNWS2021,urn:contentItem:61R3-0H81-JB40-X4CV-00000-00
FedEx Co. ( NYSE :FDX) Shares Sold by Carroll Financial Associates Inc.,DailyPolitical,,2021-01-09,1029 words,1029,4,32,484233,AMCN-116307,urn:contentItem:61R2-6R71-F03R-N3M9-00000-00
FedEx ( NYSE :FDX) Cut to Market Perform at Wolfe Research,DailyPolitical,,2021-01-09,927 words,927,4,31,484233,AMCN-116307,urn:contentItem:61R2-6R71-F03R-N3FS-00000-00
FedEx ( NYSE :FDX) Rating Lowered to Market Perform at Wolfe Research,Zolmax.com,,2021-01-09,954 words,954,4,31,484302,AMCN-116308,urn:contentItem:61R2-6R71-F03R-N4D7-00000-00
FedEx Co. ( NYSE :FDX) Shares Sold by Wedge Capital Management L L P NC,American Banking and Market News,,2021-01-11,953 words,953,17,60,439934,AMBNWS2021,urn:contentItem:61RG-YJY1-DXK2-M49F-00000-00
FedEx Co. ( NYSE :FDX) Shares Sold by F&V Capital Management LLC,American Banking and Market News,,2021-01-11,1000 words,1000,17,59,439934,AMBNWS2021,urn:contentItem:61RM-M9P1-DXK2-M39D-00000-00
"NuWave Investment Management LLC Buys 7,520 Shares of FedEx Co. ( NYSE :FDX)",American Banking and Market News,,2021-01-11,1061 words,1061,17,57,439934,AMBNWS2021,urn:contentItem:61RM-M9P1-DXK2-M32D-00000-00
FedEx ( NYSE :FDX) Downgraded by Wolfe Research to 'Market Perform',Watchlist News,,2021-01-11,1112 words,1112,17,57,484299,AMCN-135127,urn:contentItem:61RG-4WX1-JCMN-Y4G4-00000-00
NuWave Investment Management LLC Has $1.96 Million Holdings in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-01-11,1077 words,1077,17,57,439934,AMBNWS2021,urn:contentItem:5SG0-RV51-DXK2-M3NV-00000-00
Investment Analysts' Recent Ratings Changes for FedEx ( FDX ),American Banking and Market News,,2021-01-11,1742 words,1742,17,48,439934,AMBNWS2021,urn:contentItem:61RG-YJY1-DXK2-M4GP-00000-00
Technavio Issues Insights on the Global Retail Logistics Market,Manufacturing Close-Up,,2021-01-11,393 words,393,17,22,345179,MCCLPM2021,urn:contentItem:61RG-1MV1-JCRR-04SG-00000-00
"Louisiana State Employees Retirement System Buys 2,800 Shares of FedEx Co. ( NYSE :FDX)",American Banking and Market News,,2021-01-12,931 words,931,18,60,439934,AMBNWS2021,urn:contentItem:61RR-0J91-DXK2-M20X-00000-00
Granite Investment Advisors LLC Sells 808 Shares of FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-01-12,1011 words,1011,18,59,439934,AMBNWS2021,urn:contentItem:61RV-M271-JB40-X2J3-00000-00
Cottage Street Advisors LLC Sells 956 Shares of FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-01-12,957 words,957,18,59,439934,AMBNWS2021,urn:contentItem:61RV-M2M1-DXK2-M09P-00000-00
Red Door Wealth Management LLC Has $4.45 Million Stock Position in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-01-12,1000 words,1000,18,59,439934,AMBNWS2021,urn:contentItem:61RV-M271-JB40-X41S-00000-00
"Central Bank & Trust Co. Acquires 20,325 Shares of FedEx Co. ( NYSE :FDX)",American Banking and Market News,,2021-01-12,1020 words,1020,18,59,439934,AMBNWS2021,urn:contentItem:61RV-M2K1-DXK2-M4N5-00000-00
FedEx Co. ( NYSE :FDX) Shares Acquired by Central Bank & Trust Co.,American Banking and Market News,,2021-01-12,1016 words,1016,18,59,439934,AMBNWS2021,urn:contentItem:5SG2-KGG1-DXK2-M49G-00000-00
"Jacobs & Co. CA Sells 1,589 Shares of FedEx Co. ( NYSE :FDX)",American Banking and Market News,,2021-01-12,1040 words,1040,18,58,439934,AMBNWS2021,urn:contentItem:61RV-M281-JB40-X058-00000-00
"Abner Herrman & Brock LLC Sells 1,530 Shares of FedEx Co. ( NYSE :FDX)",American Banking and Market News,,2021-01-12,1044 words,1044,18,57,439934,AMBNWS2021,urn:contentItem:61RW-24F1-DXK2-M39N-00000-00
"US Patent Issued to FEDEX CORPORATE SERVICES on Jan. 12 for ""Systems and methods for adaptively monitoring for an environmental anomaly using a designated bridging ID node for a remote monitor beacon"" ( Tennessee Inventor)",US Fed News,,2021-01-13,315 words,315,37,95,282801,USFDNW2021,urn:contentItem:61RR-HJC1-F12F-F1DN-00000-00
NIRI ANNOUNCES 2021 SENIOR ROUNDTABLE STEERING COMMITTEE,States News Service,States News Service,2021-01-13,825 words,825,37,75,8058,SNS2021,urn:contentItem:61S2-P301-DYTH-G20W-00000-00
Parkside Investments LLC Sells 162 Shares of FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-01-13,1026 words,1026,37,63,439934,AMBNWS2021,urn:contentItem:5SG6-7VY1-JB40-X1JH-00000-00
"25,773 Shares in FedEx Co. ( NYSE :FDX) Purchased by Brookstone Capital Management",American Banking and Market News,,2021-01-13,976 words,976,37,61,439934,AMBNWS2021,urn:contentItem:61RX-XBG1-DXK2-M339-00000-00
FedEx Co. ( NYSE :FDX) Shares Sold by First Hawaiian Bank,American Banking and Market News,,2021-01-13,934 words,934,37,61,439934,AMBNWS2021,urn:contentItem:61RX-XBG1-DXK2-M27N-00000-00
FedEx Co. ( NYSE :FDX) Shares Purchased by Cox Capital Mgt LLC,American Banking and Market News,,2021-01-13,1029 words,1029,37,59,439934,AMBNWS2021,urn:contentItem:61S2-K9D1-DXK2-M55S-00000-00
"Global Reverse Logistics of Spare Parts for Manufacturing Market 2020 Share, Trend, Segmentation and Forecast to 2026",iCrowdNewswire (English),,2021-01-13,1384 words,1384,37,59,433665,ICRWDE2021,urn:contentItem:61S2-GR21-F08D-53FC-00000-00
"DAVENPORT & Co LLC Sells 3,655 Shares of FedEx Co. ( NYSE :FDX)",American Banking and Market News,,2021-01-13,998 words,998,37,59,439934,AMBNWS2021,urn:contentItem:61S2-K9F1-DXK2-M042-00000-00
FedEx Co. ( NYSE :FDX) Shares Acquired by Investment House LLC,American Banking and Market News,,2021-01-13,1013 words,1013,37,59,439934,AMBNWS2021,urn:contentItem:61S2-K961-JB40-X4GW-00000-00
National Investor Relations Institute Announces 2021 Senior Roundtable Steering Committee,Targeted News Service,Targeted News Service,2021-01-14,737 words,737,24,78,299219,TARGET2021,urn:contentItem:61S4-G8D1-DYG2-R0HX-00000-00
UNFI Elects Gloria Boyland to its Board of Directors Former FedEx executive adds complementary transformation and operations experience,Business Wire,,2021-01-14,691 words,691,24,62,7924,BWIRE2021,urn:contentItem:61S5-J1D1-DXY3-03DC-00000-00
FedEx Co. ( NYSE :FDX) Stake Lifted by Raymond James Trust N.A.,American Banking and Market News,,2021-01-14,1034 words,1034,24,61,439934,AMBNWS2021,urn:contentItem:61S4-WH41-JB40-X34T-00000-00
Global Trust Asset Management LLC Lowers Position in FedEx Co. ( NYSE :FDX),Watchlist News,,2021-01-14,1082 words,1082,24,61,484299,AMCN-135127,urn:contentItem:61S5-F5F1-F03R-N54P-00000-00
"City Holding Co. Has $60,000 Stake in FedEx Co. ( NYSE :FDX)",American Banking and Market News,,2021-01-14,959 words,959,24,60,439934,AMBNWS2021,urn:contentItem:61S4-WH41-JB40-X3H9-00000-00
FedEx Co. ( NYSE :FDX) Holdings Cut by First Citizens Bank & Trust Co.,American Banking and Market News,,2021-01-14,1006 words,1006,24,60,439934,AMBNWS2021,urn:contentItem:61S4-WMF1-JB40-X4X9-00000-00
"Greylin Investment Mangement Inc. Sells 2,957 Shares of FedEx Co. ( NYSE :FDX)",American Banking and Market News,,2021-01-14,1028 words,1028,24,59,439934,AMBNWS2021,urn:contentItem:61SB-VCW1-JB40-X4CW-00000-00
FedEx Co. ( NYSE :FDX) Shares Sold by Sowell Financial Services LLC,American Banking and Market News,,2021-01-14,977 words,977,24,59,439934,AMBNWS2021,urn:contentItem:61S4-WMF1-JB40-X4CV-00000-00
"Cullinan Associates Inc. Sells 8,600 Shares of FedEx Co. ( NYSE :FDX)",American Banking and Market News,,2021-01-14,1015 words,1015,24,59,439934,AMBNWS2021,urn:contentItem:61S8-HP71-DXK2-M48X-00000-00
IFM Investors Pty Ltd Has $6.16 Million Stock Position in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-01-14,1041 words,1041,24,58,439934,AMBNWS2021,urn:contentItem:61S4-WMF1-JB40-X4NW-00000-00
READOUT FROM EXIM CHAIRMAN KIMBERLY REED'S MEETING WITH FEDEX EXECUTIVES,States News Service,States News Service,2021-01-15,292 words,292,20,79,8058,SNS2021,urn:contentItem:61SK-31F1-JCBF-S1DD-00000-00
Founders Capital Management LLC Has $15.59 Million Stock Position in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-01-15,1001 words,1001,20,63,439934,AMBNWS2021,urn:contentItem:61SG-H5N1-DXK2-M2T2-00000-00
Hudson Valley Investment Advisors Inc. ADV Raises Holdings in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-01-15,1012 words,1012,20,62,439934,AMBNWS2021,urn:contentItem:61SG-H531-DXK2-M518-00000-00
FedEx Co. ( NYSE :FDX) Shares Sold by A. D. Beadell Investment Counsel Inc.,American Banking and Market News,,2021-01-15,962 words,962,20,61,439934,AMBNWS2021,urn:contentItem:5SGD-6W91-JB40-X3WM-00000-00
"Davis Rea LTD. Acquires 1,661 Shares of FedEx Co. ( NYSE :FDX)",American Banking and Market News,,2021-01-15,1002 words,1002,20,59,439934,AMBNWS2021,urn:contentItem:61SG-H5N1-DXK2-M2T5-00000-00
A. D. Beadell Investment Counsel Inc. Decreases Holdings in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-01-15,987 words,987,20,59,439934,AMBNWS2021,urn:contentItem:61SG-H541-DXK2-M0DH-00000-00
FedEx Co. ( NYSE :FDX) Shares Sold by Douglas Lane & Associates LLC,American Banking and Market News,,2021-01-15,985 words,985,20,59,439934,AMBNWS2021,urn:contentItem:61SB-VCX1-JB40-X1KY-00000-00
A. D. Beadell Investment Counsel Inc. Decreases Stake in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-01-15,980 words,980,20,59,439934,AMBNWS2021,urn:contentItem:61SG-H541-DXK2-M0RT-00000-00
"Greylin Investment Mangement Inc. Sells 2,957 Shares of FedEx Co. ( NYSE :FDX)",Watchlist News,,2021-01-15,1149 words,1149,20,58,484299,AMCN-135127,urn:contentItem:61SB-2C71-JCMN-Y007-00000-00
FedEx Co. ( NYSE :FDX) Shares Acquired by Clarius Group LLC,American Banking and Market News,,2021-01-16,1011 words,1011,5,59,439934,AMBNWS2021,urn:contentItem:61SJ-T2X1-DXK2-M4VN-00000-00
Crossmark Global Holdings Inc. Lowers Holdings in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-01-16,1032 words,1032,5,58,439934,AMBNWS2021,urn:contentItem:61SJ-T2D1-JB40-X4DC-00000-00
Readout From EXIM Chairman Kimberly Reed's Meeting With FedEx Executives,Targeted News Service,Targeted News Service,2021-01-16,172 words,172,5,35,299219,TARGET2021,urn:contentItem:61SJ-82D1-DYG2-R2B3-00000-00
Clarius Group LLC Increases Stock Position in FedEx Co. ( NYSE :FDX),DailyPolitical,,2021-01-16,1032 words,1032,5,31,484233,AMCN-116307,urn:contentItem:61SK-9F71-F03R-N4PX-00000-00
FedEx ( FDX ) Down 13.6% Since Last Earnings Report: Can It Rebound?,Newstex Blogs,Zacks Equity Research,2021-01-16,790 words,790,5,6,299488,ZACK-5304,urn:contentItem:61SK-9DH1-JCMN-Y4RM-00000-00
"Civil Rights, history museums free on MLK Jr. Day",The Associated Press State & Local Wire,,2021-01-17,274 words,274,1,73,304479,APST2021,urn:contentItem:61SS-WVG1-DYMD-64R6-00000-00
FedEx Co. ( NYSE : FDX ) Expected to Post Earnings of $3.25 Per Share,American Banking and Market News,,2021-01-18,1094 words,1094,6,58,439934,AMBNWS2021,urn:contentItem:61T4-C3P1-DXK2-M1H0-00000-00
Zacks: Analysts Anticipate FedEx Co. ( NYSE : FDX ) to Announce $3.25 Earnings Per Share,American Banking and Market News,,2021-01-18,1082 words,1082,6,57,439934,AMBNWS2021,urn:contentItem:61T4-C3P1-DXK2-M1HH-00000-00
"Global Vaccine Transport and Logistics Market Report 2020: Industry Analysis, Trends, Market Size, and Forecasts 2018-2026 - Market to Grow with a CAGR of 7.1% - ResearchAndMarkets.com",Business Wire,,2021-01-18,835 words,835,6,49,7924,BWIRE2021,urn:contentItem:61T0-1RY1-DXY3-03NW-00000-00
"Domestic Freight Market in US to Grow Over $ 170 Billion During 2021-2025 | Featuring Vendors Including Deutsche Post DHL Group, DSV Panalpina A/S , and Others | Technavio",Business Wire,,2021-01-18,904 words,904,6,33,7924,BWIRE2021,urn:contentItem:61T1-83M1-JBG1-8495-00000-00
"Global Last Mile Delivery Markets, 2018-2019 & 2020-2026 with COVID-19 Impact Insights",PR Newswire,,2021-01-18,809 words,809,6,20,8054,PRNEWS2021,urn:contentItem:61T0-VKM1-DXP3-R462-00000-00
"Copa Holdings ( CPA ) December Traffic, Load Factor Fall Y/Y",Newstex Blogs,Zacks Equity Research,2021-01-18,766 words,766,6,8,299488,ZACK-5304,urn:contentItem:61T1-7W61-F03R-N39X-00000-00
UNIVEST FINANCIAL Corp Decreases Holdings in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-01-19,960 words,960,12,93,439934,AMBNWS2021,urn:contentItem:61TB-VGK1-DXK2-M128-00000-00
FedEx Co. ( NYSE :FDX) Holdings Decreased by Spirit of America Management Corp NY,American Banking and Market News,,2021-01-19,1001 words,1001,12,63,439934,AMBNWS2021,urn:contentItem:61TD-RX61-JB40-X2PT-00000-00
"OLD National Bancorp IN Sells 11,480 Shares of FedEx Co. ( NYSE :FDX)",American Banking and Market News,,2021-01-19,952 words,952,12,61,439934,AMBNWS2021,urn:contentItem:61TD-RX61-JB40-X15B-00000-00
Thompson Investment Management Inc. Decreases Holdings in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-01-19,973 words,973,12,61,439934,AMBNWS2021,urn:contentItem:61TD-RX61-JB40-X1MH-00000-00
Edge Wealth Management LLC Sells 141 Shares of FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-01-19,946 words,946,12,60,439934,AMBNWS2021,urn:contentItem:5SGM-N581-DXK2-M0V2-00000-00
Allied Investment Advisors LLC Cuts Stock Position in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-01-19,999 words,999,12,60,439934,AMBNWS2021,urn:contentItem:61TB-VGK1-DXK2-M1MH-00000-00
Journey Advisory Group LLC Buys New Position in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-01-19,1011 words,1011,12,59,439934,AMBNWS2021,urn:contentItem:61TD-RX61-JB40-X1MK-00000-00
"Autus Asset Management LLC Sells 2,578 Shares of FedEx Co. ( NYSE :FDX)",American Banking and Market News,,2021-01-19,961 words,961,12,59,439934,AMBNWS2021,urn:contentItem:61TB-VGK1-DXK2-M11J-00000-00
FedEx Co. ( NYSE :FDX) Shares Sold by Autus Asset Management LLC,Watchlist News,,2021-01-19,1130 words,1130,12,57,484299,AMCN-135127,urn:contentItem:61TB-M971-F03R-N13T-00000-00
"US Patent Issued to FEDEX CORPORATE SERVICES on Jan. 19 for ""Enhanced shipping container apparatus for sensor-based self-monitoring, detecting, and reporting on an environmental anomaly"" ( Tennessee Inventor)",US Fed News,,2021-01-20,288 words,288,24,99,282801,USFDNW2021,urn:contentItem:61TC-5BS1-JDKC-R3YR-00000-00
"US Patent Issued to FEDEX CORPORATE SERVICES on Jan. 19 for ""Systems for layered initiation of a mediation response to a battery-related environmental anomaly within a shipping container"" ( Tennessee Inventor)",US Fed News,,2021-01-20,316 words,316,24,96,282801,USFDNW2021,urn:contentItem:61TB-5ST1-JDKC-R2WX-00000-00
Columbus Circle Investors Has $13.98 Million Position in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-01-20,947 words,947,24,61,439934,AMBNWS2021,urn:contentItem:61TD-RX21-DXK2-M1DX-00000-00
Eastern Bank Acquires New Holdings in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-01-20,927 words,927,24,61,439934,AMBNWS2021,urn:contentItem:61TJ-D7S1-JB40-X08M-00000-00
Richard P Slaughter Associates Inc Has $1.63 Million Holdings in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-01-20,993 words,993,24,60,439934,AMBNWS2021,urn:contentItem:61TJ-D7M1-DXK2-M0S5-00000-00
"Columbus Circle Investors Purchases 8,404 Shares of FedEx Co. ( NYSE :FDX)",American Banking and Market News,,2021-01-20,1015 words,1015,24,60,439934,AMBNWS2021,urn:contentItem:5SGP-HJR1-JB40-X207-00000-00
$19.72 Billion in Sales Expected for FedEx Co. ( NYSE : FDX ) This Quarter,American Banking and Market News,,2021-01-20,1015 words,1015,24,60,439934,AMBNWS2021,urn:contentItem:61TD-RX61-JB40-X3RK-00000-00
Mathes Company Inc. Has $4.30 Million Position in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-01-20,971 words,971,24,60,439934,AMBNWS2021,urn:contentItem:61TJ-D7R1-JB40-X4SN-00000-00
"Bartlett & Co. LLC Purchases 4,114 Shares of FedEx Co. ( NYSE :FDX)",American Banking and Market News,,2021-01-20,1037 words,1037,24,59,439934,AMBNWS2021,urn:contentItem:61TJ-D7S1-JB40-X0SG-00000-00
